"1096-1453","CIÊNCIAS BIOLÓGICAS II                            ","Academic Exchange Quarterly","C ",2008
"1081-1710","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Vector Ecology","B4",2008
"0891-6640","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Veterinary Internal Medicine","B2",2008
"0931-184X","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Veterinary Medicine. Series A","B4",2008
"0931-1793","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Veterinary Medicine. Series B (Cessou em 2006. Cont. ISSN 1863-1959 Zoonoses and Public Health (Print))","B2",2008
"0140-7783","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Veterinary Pharmacology and Therapeutics (Print)","B3",2008
"0166-0934","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Virological Methods","B2",2008
"0022-538X","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Virology (Print)","A1",2008
"0892-1997","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Voice","B4",2008
"0952-8369","CIÊNCIAS BIOLÓGICAS II                            ","Journal of Zoology (1987)","B2",2008
"0148-6071","CIÊNCIAS BIOLÓGICAS II                            ","JPEN. Journal of Parenteral and Enteral Nutrition","B2",2008
"1518-4862","CIÊNCIAS BIOLÓGICAS II                            ","Jus Navigandi","C ",2008
"1013-9826","CIÊNCIAS BIOLÓGICAS II                            ","Key Engineering Materials","C ",2008
"1420-4096","CIÊNCIAS BIOLÓGICAS II                            ","Kidney & Blood Pressure Research","B3",2008
"0023-6772","CIÊNCIAS BIOLÓGICAS II                            ","Laboratory Animals (London)","B4",2008
"0101-0522","CIÊNCIAS BIOLÓGICAS II                            ","LAES/HAES","C ",2008
"1320-5331","CIÊNCIAS BIOLÓGICAS II                            ","Lakes and Reservoirs (Print)","C ",2008
"0140-6736","CIÊNCIAS BIOLÓGICAS II                            ","Lancet (British edition)","A1",2008
"0743-7463","CIÊNCIAS BIOLÓGICAS II                            ","Langmuir","A2",2008
"0268-8921","CIÊNCIAS BIOLÓGICAS II                            ","Lasers in Medical Science","B4",2008
"0196-8092","CIÊNCIAS BIOLÓGICAS II                            ","Lasers in Surgery and Medicine (Print)","B1",2008
"1072-0502","CIÊNCIAS BIOLÓGICAS II                            ","Learning & Memory (Cessou em 2008. Cont. ISSN 1549-5485 Learning & Memory (Cold Spring Harbor, N.Y. : Online))","A2",2008
"0023-6438","CIÊNCIAS BIOLÓGICAS II                            ","Lebensmittel-Wissenschaft + Technologie / Food Science + Technology","B3",2008
"1514-3465","CIÊNCIAS BIOLÓGICAS II                            ","Lecturas Educación Física y Deportes (Buenos Aires)","C ",2008
"0305-7518","CIÊNCIAS BIOLÓGICAS II                            ","Leprosy Review","B3",2008
"0266-8254","CIÊNCIAS BIOLÓGICAS II                            ","Letters in Applied Microbiology","B2",2008
"1570-1808","CIÊNCIAS BIOLÓGICAS II                            ","Letters in Drug Design & Discovery","B4",2008
"1570-1786","CIÊNCIAS BIOLÓGICAS II                            ","Letters in Organic Chemistry","B4",2008
"0887-6924","CIÊNCIAS BIOLÓGICAS II                            ","Leukemia","A1",2008
"1042-8194","CIÊNCIAS BIOLÓGICAS II                            ","Leukemia & Lymphoma (Print)","B2",2008
"0145-2126","CIÊNCIAS BIOLÓGICAS II                            ","Leukemia Research","B1",2008
"0024-3205","CIÊNCIAS BIOLÓGICAS II                            ","Life Sciences (1973)","B2",2008
"0024-4201","CIÊNCIAS BIOLÓGICAS II                            ","Lipids","B2",2008
"1478-3223","CIÊNCIAS BIOLÓGICAS II                            ","Liver International (Print)","B1",2008
"0961-2033","CIÊNCIAS BIOLÓGICAS II                            ","Lupus (Basingstoke)","B2",2008
"1022-1360","CIÊNCIAS BIOLÓGICAS II                            ","Macromolecular Symposia","C ",2008
"0730-725X","CIÊNCIAS BIOLÓGICAS II                            ","Magnetic Resonance Imaging","B2",2008
"0749-1581","CIÊNCIAS BIOLÓGICAS II                            ","Magnetic Resonance in Chemistry","B2",2008
"1475-2875","CIÊNCIAS BIOLÓGICAS II                            ","Malaria Journal (Online)","B1",2008
"1616-5047","CIÊNCIAS BIOLÓGICAS II                            ","Mammalian Biology (Print)","B3",2008
"0025-3162","CIÊNCIAS BIOLÓGICAS II                            ","Marine Biology (Berlin)","B2",2008
"0141-1136","CIÊNCIAS BIOLÓGICAS II                            ","Marine Environmental Research","B2",2008
"0377-8398","CIÊNCIAS BIOLÓGICAS II                            ","Marine Micropaleontology (Print)","B2",2008
"0025-326X","CIÊNCIAS BIOLÓGICAS II                            ","Marine Pollution Bulletin.","B1",2008
"1517-7076","CIÊNCIAS BIOLÓGICAS II                            ","Matéria (UFRJ)","C ",2008
"1044-5803","CIÊNCIAS BIOLÓGICAS II                            ","Materials Characterization","B3",2008
"1516-1439","CIÊNCIAS BIOLÓGICAS II                            ","Materials Research (São Carlos. Impresso)","C ",2008
"0921-5093","CIÊNCIAS BIOLÓGICAS II                            ","Materials Science & Engineering. A, Structural Materials: properties, microstructure and processing","B2",2008
"0928-4931","CIÊNCIAS BIOLÓGICAS II                            ","Materials Science & Engineering. C, Biomimetic Materials, Sensors and Systems (Print)","B2",2008
"0945-053X","CIÊNCIAS BIOLÓGICAS II                            ","Matrix Biology (Print)","A2",2008
"0378-5122","CIÊNCIAS BIOLÓGICAS II                            ","Maturitas (Amsterdam)","B2",2008
"0047-6374","CIÊNCIAS BIOLÓGICAS II                            ","Mechanisms of Ageing and Development (Print)","A2",2008
"0925-4773","CIÊNCIAS BIOLÓGICAS II                            ","Mechanisms of Development","A2",2008
"0399-077X","CIÊNCIAS BIOLÓGICAS II                            ","Médecine et Maladies Infectieuses","B4",2008
"0962-9351","CIÊNCIAS BIOLÓGICAS II                            ","Mediators of Inflammation (Print)","B3",2008
"0140-0118","CIÊNCIAS BIOLÓGICAS II                            ","Medical & Biological Engineering & Computing","B4",2008
"0269-283X","CIÊNCIAS BIOLÓGICAS II                            ","Medical and Veterinary Entomology (Print)","B2",2008
"0306-9877","CIÊNCIAS BIOLÓGICAS II                            ","Medical Hypotheses","B3",2008
"0300-8584","CIÊNCIAS BIOLÓGICAS II                            ","Medical Microbiology and Immunology","B2",2008
"1369-3786","CIÊNCIAS BIOLÓGICAS II                            ","Medical Mycology (Oxford. Print)","B2",2008
"0094-2405","CIÊNCIAS BIOLÓGICAS II                            ","Medical Physics (Lancaster)","B1",2008
"1234-1010","CIÊNCIAS BIOLÓGICAS II                            ","Medical Science Monitor","B2",2008
"0076-6046","CIÊNCIAS BIOLÓGICAS II                            ","Medicina (USP.FMRP)","C ",2008
"1698-4447","CIÊNCIAS BIOLÓGICAS II                            ","Medicina Oral, Patología Oral y Cirugía Bucal (Ed. impresa)","C ",2008
"1054-2523","CIÊNCIAS BIOLÓGICAS II                            ","Medicinal Chemistry Research (Print)","B4",2008
"0195-9131","CIÊNCIAS BIOLÓGICAS II                            ","Medicine and Science in Sports and Exercise","B1",2008
"0960-8931","CIÊNCIAS BIOLÓGICAS II                            ","Melanoma Research","B2",2008
"0074-0276","CIÊNCIAS BIOLÓGICAS II                            ","Memórias do Instituto Oswaldo Cruz (Impresso)","B3",2008
"1072-3714","CIÊNCIAS BIOLÓGICAS II                            ","Menopause (New York, N.Y.)","A2",2008
"0885-7490","CIÊNCIAS BIOLÓGICAS II                            ","Metabolic Brain Disease","B2",2008
"0026-0495","CIÊNCIAS BIOLÓGICAS II                            ","Metabolism, Clinical and Experimental (Print)","B1",2008
"0379-0355","CIÊNCIAS BIOLÓGICAS II                            ","Methods and Findings in Experimental and Clinical Pharmacology","B4",2008
"0076-6879","CIÊNCIAS BIOLÓGICAS II                            ","Methods in Enzymology (Print)","B2",2008
"1064-3745","CIÊNCIAS BIOLÓGICAS II                            ","Methods in Molecular Biology (Clifton, N.J.)","C ",2008
"1286-4579","CIÊNCIAS BIOLÓGICAS II                            ","Microbes and Infection","B1",2008
"1475-2859","CIÊNCIAS BIOLÓGICAS II                            ","Microbial Cell Factories","B4",2008
"1076-6294","CIÊNCIAS BIOLÓGICAS II                            ","Microbial Drug Resistance (Larchmont, N.Y.)","B2",2008
"0095-3628","CIÊNCIAS BIOLÓGICAS II                            ","Microbial Ecology","B1",2008
"0882-4010","CIÊNCIAS BIOLÓGICAS II                            ","Microbial Pathogenesis","B2",2008
"0944-5013","CIÊNCIAS BIOLÓGICAS II                            ","Microbiological Research (Print)","B2",2008
"1350-0872","CIÊNCIAS BIOLÓGICAS II                            ","Microbiology (Reading. Print)","B1",2008
"0385-5600","CIÊNCIAS BIOLÓGICAS II                            ","Microbiology and Immunology","B3",2008
"0026-265X","CIÊNCIAS BIOLÓGICAS II                            ","Microchemical Journal (Print)","B2",2008
"1073-9688","CIÊNCIAS BIOLÓGICAS II                            ","Microcirculation (New York, N.Y. 1994)","B1",2008
"0026-2692","CIÊNCIAS BIOLÓGICAS II                            ","Microelectronics (Luton) (Cessou em 1978. Cont. ISSN 0959-8324 Microelectronics Journal)","B4",2008
"0968-4328","CIÊNCIAS BIOLÓGICAS II                            ","Micron (Oxford. 1993)","B2",2008
"1387-1811","CIÊNCIAS BIOLÓGICAS II                            ","Microporous and Mesoporous Materials (Print)","B2",2008
"1431-9276","CIÊNCIAS BIOLÓGICAS II                            ","Microscopy and Microanalysis (Print)","B2",2008
"1059-910X","CIÊNCIAS BIOLÓGICAS II                            ","Microscopy Research and Technique (Print)","B2",2008
"0738-1085","CIÊNCIAS BIOLÓGICAS II                            ","Microsurgery","B3",2008
"0026-2862","CIÊNCIAS BIOLÓGICAS II                            ","Microvascular Research (Print)","B1",2008
"0375-9393","CIÊNCIAS BIOLÓGICAS II                            ","Minerva Anestesiologica (Testo stampato)","B2",2008
"1389-5575","CIÊNCIAS BIOLÓGICAS II                            ","Mini-Reviews in Medical Chemistry","B1",2008
"1570-193X","CIÊNCIAS BIOLÓGICAS II                            ","Mini-Reviews in Organic Chemistry","B2",2008
"1567-7249","CIÊNCIAS BIOLÓGICAS II                            ","Mitochondrion (Amsterdam. Print)","B1",2008
"0166-6851","CIÊNCIAS BIOLÓGICAS II                            ","Molecular and Biochemical Parasitology (Print)","B1",2008
"0300-8177","CIÊNCIAS BIOLÓGICAS II                            ","Molecular and Cellular Biochemistry","B2",2008
"0270-7306","CIÊNCIAS BIOLÓGICAS II                            ","Molecular and Cellular Biology (Print)","A1",2008
"0303-7207","CIÊNCIAS BIOLÓGICAS II                            ","Molecular and Cellular Endocrinology (Print)","B1",2008
"1044-7431","CIÊNCIAS BIOLÓGICAS II                            ","Molecular and Cellular Neurosciences (Print)","A2",2008
"1059-1524","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Biology of the Cell (Cessou em 2007. Cont. ISSN 1939-4586 Molecular Biology of the Cell (Online))","A1",2008
"0301-4851","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Biology Reports","B4",2008
"1742-206X","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Biosystems (Print)","A2",2008
"1073-6085","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Biotechnology","B2",2008
"0169-328X","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Brain Research (Cessou em 2005)","B2",2008
"1380-3743","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Breeding","B1",2008
"1541-7786","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Cancer Research","A1",2008
"0899-1987","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Carcinogenesis (Print)","B1",2008
"1755-098X","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Ecology Resources (Print)","C ",2008
"0888-8809","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Endocrinology (Baltimore, Md.)","A1",2008
"1617-4615","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Genetics and Genomics","B1",2008
"1096-7192","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Genetics and Metabolism (Print)","B1",2008
"1360-9947","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Human Reproduction (Print)","B1",2008
"0161-5890","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Immunology","A1",2008
"1076-1551","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Medicine (Cambridge, Mass. Print)","B1",2008
"1791-2997","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Medicine Reports","C ",2008
"0968-7688","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Membrane Biology","A2",2008
"0950-382X","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Microbiology (Print)","A1",2008
"0893-7648","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Neurobiology","A2",2008
"1613-4125","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Nutrition & Food Research (Print)","A2",2008
"0026-895X","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Pharmacology (Print)","A2",2008
"1055-7903","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Phylogenetics and Evolution (Print)","A2",2008
"1464-6722","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Plant Pathology","B1",2008
"0894-0282","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Plant-Microbe Interactions","A2",2008
"1359-4184","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Psychiatry","A1",2008
"1040-452X","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Reproduction and Development","B1",2008
"0892-7022","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Simulation (Print)","B3",2008
"1090-0535","CIÊNCIAS BIOLÓGICAS II                            ","Molecular Vision","B1",2008
